prov_ubi;cant_ubi;parr_ubi;area_ubi;clase;tipo;entidad;sector;dotmedic;dismedic;dotcirug;discirug;dotginob;disginob;dotped;disped;dotneon;disneon;dotcardi;discardi;dotneumo;disneumo;dotpsiqu;dispsiqu;dottraum;distraum;dotinfec;disinfec;dotofta;disofta;dotootorri;disootorri;doturolo;disurolo;dotgast;disgast;dotquem;disquem;dotneuro;disneuro;dotnefro;disnefro;dotonco;disonco;dothema;dishema;dototrse;disotrse;dotserin;disserin;camas_dnor;camas_disp;dotemerg;dotcinteadult;dotcintepediatri;dotcinteneonat;dotcintrm;dotcrecup;dototrapo;dia_estad;dias_cdis;totegres;falmen48;falmas48
17;1701;170157;2;2;1;18;2;12;12;9;10;10;9;15;14;4;4;4;4;3;3;2;2;4;5;0;0;2;2;3;3;3;3;3;4;0;0;3;2;2;2;3;3;0;0;0;0;0;0;82;82;18;4;4;4;4;6;0;13684;29718;4416;2;18
09;0901;090112;1;5;1;13;3;0;0;0;0;0;0;139;139;25;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;54;0;0;218;218;35;0;40;78;85;16;1;126462;77373;14792;34;327
06;0601;060101;1;1;5;18;2;9;9;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;23;23;1;5;0;0;3;1;0;5971;8395;1648;6;22
02;0201;020102;1;2;1;1;1;22;22;23;23;35;34;20;21;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;110;8;0;0;0;2;4;6;22568;38663;6211;19;56
18;1801;180101;1;2;1;6;1;35;35;31;31;36;36;26;26;15;15;4;4;0;0;1;1;26;26;0;0;1;1;3;3;12;12;2;2;0;0;8;8;8;8;0;0;0;0;5;5;0;0;213;213;15;8;0;7;21;11;70;70230;77745;14445;61;206
24;2403;240352;2;2;1;18;2;10;10;10;10;6;6;6;6;5;5;1;1;1;1;0;0;4;4;1;1;1;1;1;1;2;2;2;2;0;0;2;2;3;3;0;0;0;0;0;0;0;0;55;55;9;5;5;0;12;2;4;7811;18482;2576;68;60
23;2301;230106;1;2;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;17;17;17;0;0;0;0;0;0;0;1602;6391;892;1;3
09;0901;090112;1;2;1;6;1;89;91;53;51;60;63;60;67;0;12;4;4;0;0;0;0;59;59;0;0;0;0;2;2;12;12;15;14;0;0;0;0;0;0;0;0;0;0;39;28;0;0;393;403;48;30;0;0;0;0;11;124795;4701;23923;26;361
17;1701;170128;1;2;1;6;1;0;0;0;0;62;42;96;96;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;187;207;0;0;353;353;39;13;6;6;9;25;36;85112;128845;20007;128;360
03;0301;030150;1;2;1;1;1;42;42;24;24;36;36;23;23;12;12;0;0;0;0;0;0;9;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;145;11;4;0;0;0;6;2;33770;52747;8992;52;130
